C,1527
HTML,1351
R,1230
JAVA,215
C++,206
PHP,180
JAVASCRIPT,144
SQL,126
CSS,106
PYTHON,104
C#,97
RUBY,65
PERL,30
SWIFT,13
GO,12
SCALA,8
BASH,3
TYPESCRIPT,2
DELPHI,1
